Date_Forecast;Forecast_T_ANN_ARCH;Forecast_GARCH;Forecast_GJR_GARCH;Forecast_TARCH;Forecast_EGARCH;Forecast_AVGARCH;Forecast_FIGARCH;ReturnForecast;TrueSD;VaR_T_ANN_ARCH;VaR_GARCH;VaR_GJR_GARCH;VaR_TARCH;VaR_EGARCH;VaR_AVGARCH;VaR_FIGARCH;SquaredError
02/05/2008;0.006731557;0.015583949;0.008131375;0.007737792;0.01744218;0.011731203;0.010489797;0.003230375;0.010282937;0.02172957;0.038450776;0.027935423;0.026868564;0.041187043;0.032888702;0.031366761;1.26E-05
05/05/2008;0.010052335;0.014259053;0.007375114;0.006753446;0.015203904;0.010633123;0.011072897;-0.004543892;0.010062104;0.032506956;0.036820173;0.026557;0.025055132;0.038425724;0.031274816;0.032324821;9.54E-11
06/05/2008;0.010233068;0.013277577;0.007215483;0.00734848;0.014204082;0.010212876;0.010897254;0.007622806;0.01193523;0.033086348;0.035577751;0.02625958;0.02615907;0.03717012;0.030661882;0.032099142;2.90E-06
07/05/2008;0.011144398;0.012538227;0.006787724;0.006563398;0.013715688;0.010085674;0.010387393;-0.018279853;0.011069159;0.03605722;0.034593569;0.025415522;0.024654313;0.036545084;0.030460249;0.031327391;5.66E-09
08/05/2008;0.010476667;0.014903096;0.011876894;0.011657892;0.017081921;0.012307383;0.010135874;0.003662835;0.006496545;0.033858269;0.037647149;0.033906273;0.033077944;0.040924874;0.03372887;0.030815731;1.58E-05
09/05/2008;0.005041483;0.013839495;0.011077955;0.010280419;0.015506459;0.011387506;0.011771749;-0.006748166;0.007504689;0.01619534;0.036371935;0.032809914;0.031113151;0.039043;0.032516792;0.033384221;6.07E-06
12/05/2008;0.00641447;0.013315363;0.011123492;0.011518605;0.015316992;0.011416634;0.011977401;0.010960492;0.005239174;0.020667401;0.035713389;0.032901439;0.033062909;0.038880757;0.032628385;0.033696383;1.38E-06
13/05/2008;0.004597755;0.013125555;0.010331533;0.010103237;0.015231094;0.011581268;0.011761182;-0.000384745;0.00436711;0.014759215;0.035337175;0.031545732;0.030733921;0.038623009;0.032706259;0.03331162;5.32E-08
14/05/2008;0.004444438;0.012222824;0.009579945;0.009264305;0.013728562;0.010570553;0.011687639;0.003997583;0.007162117;0.014237703;0.034092717;0.030370262;0.029416648;0.036438436;0.031136825;0.033179044;7.39E-06
15/05/2008;0.006773301;0.01121781;0.008967191;0.008225574;0.01250446;0.00980805;0.011001857;0.010528841;0.010356746;0.021851453;0.032814844;0.029527721;0.027826089;0.034880484;0.030113418;0.032257041;1.28E-05
16/05/2008;0.009456189;0.011249392;0.00838302;0.007332603;0.012826237;0.010141735;0.010215027;0.001249617;0.008244606;0.030594129;0.032746703;0.028402633;0.026121794;0.035217441;0.030520091;0.030980804;1.47E-06
19/05/2008;0.006191259;0.010297632;0.007768317;0.006471418;0.011337071;0.009026579;0.009870787;0.000897643;0.008428589;0.019944437;0.031393457;0.027398364;0.024597228;0.033137179;0.028835159;0.030541412;5.01E-06
20/05/2008;0.007414158;0.009339549;0.007181073;0.00568372;0.009888226;0.007899324;0.009133745;-0.009316857;0.010081216;0.023922415;0.02992177;0.026350566;0.02306375;0.030961504;0.026960006;0.029426084;7.11E-06
