Date_Forecast;Forecast_ANN_ARCH;Forecast_GARCH;Forecast_GJR_GARCH;Forecast_TARCH;Forecast_EGARCH;Forecast_AVGARCH;Forecast_FIGARCH;ReturnForecast;TrueSD;VaR_ANN_ARCH;VaR_GARCH;VaR_GJR_GARCH;VaR_TARCH;VaR_EGARCH;VaR_AVGARCH;VaR_FIGARCH;SquaredError
16/04/2008;0.011634743;0.020122911;0.016199432;0.016992409;0.020016892;0.013886099;0.017806425;0.022437649;0.013416796;0.037710661;0.044050784;0.039542141;0.040097374;0.044549214;0.036028213;0.041402618;3.18E-06
17/04/2008;0.007393;0.022675389;0.015336916;0.014799444;0.025749589;0.016943302;0.016891748;0.000622721;0.009849507;0.023895199;0.046264089;0.038403669;0.03720837;0.050305349;0.039575677;0.039933761;6.03E-06
18/04/2008;0.009448046;0.021398136;0.014236083;0.01301744;0.023796731;0.015082039;0.018230933;0.017976454;0.009955515;0.030576328;0.045064952;0.037033377;0.03492921;0.048516697;0.037428368;0.041641794;2.58E-07
21/04/2008;0.005730152;0.021983245;0.013721168;0.011996542;0.026522128;0.016740203;0.017879035;-0.001554733;0.006450859;0.018451541;0.045626369;0.036272996;0.033414641;0.051344219;0.039433421;0.041155882;5.19E-07
22/04/2008;0.007864162;0.021336012;0.012473708;0.011091299;0.027641781;0.015425744;0.01838318;-0.008849273;0.006403333;0.025341741;0.044567318;0.034528496;0.032087687;0.051923988;0.037635912;0.041582947;2.13E-06
23/04/2008;0.010176183;0.020807106;0.012916897;0.012879522;0.027609135;0.015456173;0.01780726;0.002895721;0.004590942;0.032909919;0.044088716;0.035240432;0.034711424;0.052002252;0.037761874;0.040944113;3.12E-05
24/04/2008;0.008390687;0.01960887;0.011823043;0.011258811;0.023850274;0.013942774;0.017009185;0.006421615;0.005266276;0.027131673;0.042864751;0.033669584;0.032412678;0.048256422;0.035828403;0.040077204;9.76E-06
25/04/2008;0.006373715;0.018585317;0.01095672;0.00998451;0.02212295;0.013318932;0.015756181;0.006473737;0.008928463;0.02055777;0.04184739;0.032409468;0.030520932;0.046558225;0.035073046;0.038614568;6.53E-06
28/04/2008;0.00640462;0.017892064;0.010003559;0.008756659;0.022289288;0.012644925;0.014602018;-0.001052155;0.008722388;0.020634342;0.041039418;0.030988145;0.028555521;0.046447118;0.034089796;0.037089584;5.37E-06
29/04/2008;0.004992511;0.016494768;0.009138614;0.008064203;0.018227725;0.011342914;0.013388397;-0.003896273;0.009183914;0.016049896;0.0395038;0.029608582;0.027409499;0.042012465;0.03229086;0.03556745;1.76E-05
30/04/2008;0.005157125;0.015234191;0.008655483;0.008300052;0.016371117;0.010665062;0.012128614;-0.003853718;0.008905307;0.016584835;0.038111518;0.028850148;0.027856886;0.039910238;0.03136538;0.033890597;1.40E-05
01/05/2008;0.004690817;0.014054161;0.008245277;0.008562098;0.014816572;0.010004782;0.011088572;0.016995468;0.013296038;0.015065337;0.036731777;0.028246833;0.028431904;0.038047123;0.030471628;0.032447521;7.40E-05
02/05/2008;0.006179112;0.015583949;0.008131375;0.007737792;0.01744218;0.011731203;0.010489797;0.003230375;0.010282937;0.01993104;0.038450776;0.027935423;0.026868564;0.041187043;0.032888702;0.031366761;1.68E-05
05/05/2008;0.004022575;0.014259053;0.007375114;0.006753446;0.015203904;0.010633123;0.011072897;-0.004543892;0.010062104;0.01287655;0.036820173;0.026557;0.025055132;0.038425724;0.031274816;0.032324821;3.65E-05
06/05/2008;0.005620687;0.013277577;0.007215483;0.00734848;0.014204082;0.010212876;0.010897254;0.007622806;0.01193523;0.018070341;0.035577751;0.02625958;0.02615907;0.03717012;0.030661882;0.032099142;3.99E-05
07/05/2008;0.005655002;0.012538227;0.006787724;0.006563398;0.013715688;0.010085674;0.010387393;-0.018279853;0.011069159;0.018186015;0.034593569;0.025415522;0.024654313;0.036545084;0.030460249;0.031327391;2.93E-05
08/05/2008;0.009768846;0.014903096;0.011876894;0.011657892;0.017081921;0.012307383;0.010135874;0.003662835;0.006496545;0.031553896;0.037647149;0.033906273;0.033077944;0.040924874;0.03372887;0.030815731;1.07E-05
09/05/2008;0.007981626;0.013839495;0.011077955;0.010280419;0.015506459;0.011387506;0.011771749;-0.006748166;0.007504689;0.025767232;0.036371935;0.032809914;0.031113151;0.039043;0.032516792;0.033384221;2.27E-07
12/05/2008;0.010989948;0.013315363;0.011123492;0.011518605;0.015316992;0.011416634;0.011977401;0.010960492;0.005239174;0.035563267;0.035713389;0.032901439;0.033062909;0.038880757;0.032628385;0.033696383;3.31E-05
13/05/2008;0.008319554;0.013125555;0.010331533;0.010103237;0.015231094;0.011581268;0.011761182;-0.000384745;0.00436711;0.026875853;0.035337175;0.031545732;0.030733921;0.038623009;0.032706259;0.03331162;1.56E-05
14/05/2008;0.007800252;0.012222824;0.009579945;0.009264305;0.013728562;0.010570553;0.011687639;0.003997583;0.007162117;0.025162844;0.034092717;0.030370262;0.029416648;0.036438436;0.031136825;0.033179044;4.07E-07
15/05/2008;0.008390909;0.01121781;0.008967191;0.008225574;0.01250446;0.00980805;0.011001857;0.010528841;0.010356746;0.027117717;0.032814844;0.029527721;0.027826089;0.034880484;0.030113418;0.032257041;3.86E-06
16/05/2008;0.007114851;0.011249392;0.00838302;0.007332603;0.012826237;0.010141735;0.010215027;0.001249617;0.008244606;0.022971699;0.032746703;0.028402633;0.026121794;0.035217441;0.030520091;0.030980804;1.28E-06
19/05/2008;0.006895177;0.010297632;0.007768317;0.006471418;0.011337071;0.009026579;0.009870787;0.000897643;0.008428589;0.022236101;0.031393457;0.027398364;0.024597228;0.033137179;0.028835159;0.030541412;2.35E-06
20/05/2008;0.007095041;0.009339549;0.007181073;0.00568372;0.009888226;0.007899324;0.009133745;-0.009316857;0.010081216;0.022883504;0.02992177;0.026350566;0.02306375;0.030961504;0.026960006;0.029426084;8.92E-06
21/05/2008;0.007025776;0.009639236;0.008219907;0.007709076;0.010670524;0.008575744;0.00844815;-0.016183787;0.010677205;0.022658244;0.03041405;0.028273176;0.027007961;0.032238569;0.02814878;0.028208411;1.33E-05
22/05/2008;0.009541466;0.011514029;0.011598685;0.011885255;0.012803988;0.010271418;0.00865474;0.002613959;0.008190286;0.030859315;0.033154758;0.033635448;0.033590426;0.035287775;0.030795519;0.028421928;1.83E-06
23/05/2008;0.010882856;0.010696159;0.010770025;0.010461483;0.011590906;0.009364624;0.01002222;-0.013298434;0.00815359;0.035268788;0.0319462;0.032354834;0.031449846;0.033528743;0.029365738;0.030712818;7.45E-06
27/05/2008;0.017707596;0.011580138;0.0127067;0.013848677;0.012979689;0.01050424;0.010233339;0.006822893;0.006970625;0.057479624;0.033230054;0.035235434;0.036310179;0.035539298;0.031200266;0.030977941;0.000115283
28/05/2008;0.014815019;0.011050448;0.011758908;0.012119328;0.012447894;0.01019487;0.010984294;0.003955059;0.006805125;0.048104813;0.032396725;0.03377908;0.033847491;0.03471282;0.030657904;0.032114177;6.42E-05
29/05/2008;0.010690323;0.010311907;0.010899501;0.010639627;0.011444156;0.009459732;0.010955222;0.005320757;0.006254804;0.034665284;0.031253984;0.032429085;0.031603993;0.033219223;0.029454262;0.032099894;1.97E-05
30/05/2008;0.011185101;0.009692144;0.010148059;0.009414947;0.010786567;0.009007349;0.010345095;0.001515018;0.011368928;0.036268938;0.030266205;0.031224801;0.02964959;0.032203771;0.028688955;0.031191795;3.38E-08
02/06/2008;0.009310228;0.008970645;0.009513768;0.008374097;0.009728728;0.008165378;0.009589037;-0.010559823;0.018283793;0.03015023;0.029198801;0.03034152;0.028056888;0.030656357;0.027407701;0.03010455;8.05E-05
03/06/2008;0.009567746;0.009386949;0.010463758;0.010572275;0.010415512;0.008829315;0.008819174;-0.005804642;0.018242339;0.030997721;0.029766549;0.031718762;0.031450942;0.03162242;0.028397452;0.028748667;7.52E-05
04/06/2008;0.007515367;0.009212621;0.010288512;0.011508025;0.010435601;0.008879851;0.008948267;-0.00032675;0.018197199;0.024344094;0.029466291;0.031337732;0.0327709;0.031585103;0.028415084;0.02890524;0.000114102
05/06/2008;0.007473157;0.008574846;0.009668141;0.010644351;0.009574437;0.008163154;0.008794155;0.019308535;0.01913789;0.024197212;0.028505457;0.030449171;0.031646603;0.030336022;0.027301146;0.028731226;0.000136066
06/06/2008;0.007260416;0.010594737;0.009132948;0.009424179;0.01172329;0.009933036;0.008380103;-0.031376338;0.014613953;0.023494354;0.03167345;0.029555745;0.02967867;0.03363557;0.030180418;0.02792177;5.41E-05
09/06/2008;0.008689666;0.016602294;0.022285321;0.019688128;0.016531754;0.013574853;0.009946555;0.000793374;0.011517491;0.028111866;0.039853641;0.046873761;0.043292379;0.04031559;0.035554951;0.030557264;8.00E-06
10/06/2008;0.017796319;0.015670944;0.020699518;0.017273568;0.015003081;0.012355735;0.016259231;-0.002441049;0.011508147;0.057832255;0.038825001;0.045333204;0.040641186;0.038375499;0.03393848;0.0394006;3.95E-05
11/06/2008;0.010409513;0.014842222;0.019244271;0.0163324;0.014144394;0.011626546;0.018195289;-0.017038681;0.011875304;0.033782295;0.037815341;0.043715666;0.039546448;0.037277643;0.032937009;0.041765299;2.15E-06
12/06/2008;0.009648691;0.015900946;0.02226706;0.02156184;0.015754899;0.013040329;0.018177354;0.003274332;0.009676807;0.031334473;0.039087356;0.047051763;0.045498236;0.039339585;0.034899996;0.041666871;7.91E-10
