Date_Forecast;Forecast_LSTM_ARCH;Forecast_GARCH;Forecast_GJR_GARCH;Forecast_TARCH;Forecast_EGARCH;Forecast_AVGARCH;Forecast_FIGARCH;ReturnForecast;TrueSD;VaR_LSTM_ARCH;VaR_GARCH;VaR_GJR_GARCH;VaR_TARCH;VaR_EGARCH;VaR_AVGARCH;VaR_FIGARCH;SquaredError
25/04/2008;0.006756525;0.018585317;0.01095672;0.009984512;0.022123002;0.013318932;0.015756181;0.006473737;0.008928463;0.021804042;0.04184739;0.032409468;0.03052099;0.046558311;0.035073046;0.038614568;4.72E-06
28/04/2008;0.009544233;0.017892064;0.010003559;0.008756659;0.022289316;0.012644925;0.014602018;-0.001052155;0.008722388;0.030855625;0.041039418;0.030988145;0.028555521;0.04644715;0.034089796;0.037089584;6.75E-07
29/04/2008;0.007313263;0.016494768;0.009138614;0.008064203;0.018227673;0.011342914;0.013388397;-0.003896273;0.009183914;0.023605306;0.0395038;0.029608582;0.027409483;0.042012363;0.03229086;0.03556745;3.50E-06
30/04/2008;0.006674863;0.015234191;0.008655483;0.008300052;0.016371155;0.010665062;0.012128614;-0.003853718;0.008905307;0.021525963;0.038111518;0.028850148;0.027856886;0.03991033;0.03136538;0.033890597;4.97E-06
01/05/2008;0.00774225;0.014054161;0.008245273;0.008562098;0.014816565;0.010004782;0.011088572;0.016995468;0.013296038;0.024999541;0.036731777;0.028246821;0.028431904;0.038047106;0.030471628;0.032447521;3.08E-05
02/05/2008;0.007615842;0.015583949;0.008131375;0.007737791;0.017442181;0.011731203;0.010489797;0.003230375;0.010282937;0.024608438;0.038450776;0.027935423;0.026868556;0.04118705;0.032888702;0.031366761;7.11E-06
05/05/2008;0.005469996;0.014259053;0.007375114;0.006753446;0.015203894;0.010633123;0.011072897;-0.004543892;0.010062104;0.017588751;0.036820173;0.026557;0.025055132;0.038425696;0.031274816;0.032324821;2.11E-05
06/05/2008;0.004116371;0.013277577;0.007215483;0.007348486;0.014204086;0.010212876;0.010897254;0.007622806;0.01193523;0.013172912;0.035577751;0.02625958;0.026159113;0.037170132;0.030661882;0.032099142;6.11E-05
07/05/2008;0.011653883;0.012538227;0.006787724;0.006563399;0.01371569;0.010085674;0.010387393;-0.018279853;0.011069159;0.037715894;0.034593569;0.025415522;0.024654325;0.036545092;0.030460249;0.031327391;3.42E-07
08/05/2008;0.010821731;0.014903096;0.011876883;0.011657894;0.01708192;0.012307383;0.010135874;0.003662835;0.006496545;0.034981656;0.037647149;0.033906244;0.033077953;0.04092487;0.03372887;0.030815731;1.87E-05
09/05/2008;0.011895238;0.013839495;0.011077955;0.010280419;0.015506468;0.011387506;0.011771749;-0.006748166;0.007504689;0.038508336;0.036371935;0.032809914;0.031113151;0.039043025;0.032516792;0.033384221;1.93E-05
12/05/2008;0.006058493;0.013315363;0.011123492;0.011518607;0.015316981;0.011416634;0.011977401;0.010960492;0.005239174;0.019508486;0.035713389;0.032901439;0.03306292;0.038880733;0.032628385;0.033696383;6.71E-07
13/05/2008;0.007583939;0.013125555;0.010331533;0.01010324;0.015231073;0.011581268;0.011761182;-0.000384745;0.00436711;0.024480994;0.035337175;0.031545732;0.030733936;0.038622961;0.032706259;0.03331162;1.03E-05
14/05/2008;0.00545849;0.012222824;0.009579945;0.009264298;0.01372857;0.010570553;0.011687639;0.003997583;0.007162117;0.017539037;0.034092717;0.030370262;0.029416617;0.036438462;0.031136825;0.033179044;2.90E-06
15/05/2008;0.006822355;0.01121781;0.008967191;0.008225575;0.01250446;0.00980805;0.011001857;0.010528841;0.010356746;0.022011153;0.032814844;0.029527721;0.027826096;0.034880484;0.030113418;0.032257041;1.25E-05
16/05/2008;0.008775135;0.011249392;0.00838302;0.007332604;0.012826237;0.010141735;0.010215027;0.001249617;0.008244606;0.028376896;0.032746703;0.028402633;0.026121796;0.035217441;0.030520091;0.030980804;2.81E-07
19/05/2008;0.00797575;0.010297632;0.007768317;0.006471418;0.011337071;0.009026579;0.009870787;0.000897643;0.008428589;0.025754001;0.031393457;0.027398364;0.024597228;0.033137179;0.028835159;0.030541412;2.05E-07
20/05/2008;0.011379086;0.009339549;0.007181071;0.00568372;0.009888226;0.007899324;0.009133745;-0.009316857;0.010081216;0.036830585;0.02992177;0.026350565;0.02306375;0.030961504;0.026960006;0.029426084;1.68E-06
21/05/2008;0.00711445;0.009639236;0.008219907;0.007709075;0.010670524;0.008575744;0.00844815;-0.016183787;0.010677205;0.022946929;0.03041405;0.028273176;0.027007958;0.032238569;0.02814878;0.028208411;1.27E-05
22/05/2008;0.008161454;0.011514029;0.011598678;0.011885245;0.012803988;0.010271418;0.00865474;0.002613959;0.008190286;0.026366568;0.033154758;0.033635429;0.033590396;0.035287775;0.030795519;0.028421928;8.31E-10
23/05/2008;0.005770382;0.010696159;0.010770025;0.01046148;0.011590906;0.009364624;0.01002222;-0.013298434;0.00815359;0.018624684;0.0319462;0.032354834;0.031449828;0.033528743;0.029365738;0.030712818;5.68E-06
27/05/2008;0.005897792;0.011580138;0.012706691;0.013848664;0.012979664;0.01050424;0.010233339;0.006822893;0.006970625;0.019031783;0.033230054;0.03523541;0.036310139;0.035539237;0.031200266;0.030977941;1.15E-06
28/05/2008;0.009119667;0.011050448;0.011758903;0.012119333;0.012447879;0.01019487;0.010984294;0.003955059;0.006805125;0.0295631;0.032396725;0.033779065;0.033847509;0.034712768;0.030657904;0.032114177;5.36E-06
29/05/2008;0.005771098;0.010311907;0.010899488;0.010639612;0.011444156;0.009459732;0.010955222;0.005320757;0.006254804;0.018650321;0.031253984;0.032429045;0.031603934;0.033219223;0.029454262;0.032099894;2.34E-07
30/05/2008;0.008447448;0.009692144;0.010148059;0.009414947;0.010786567;0.009007349;0.010345095;0.001515018;0.011368928;0.02735627;0.030266205;0.031224801;0.02964959;0.032203771;0.028688955;0.031191795;8.54E-06
02/06/2008;0.012542989;0.008970645;0.009513768;0.008374097;0.009728728;0.008165378;0.009589037;-0.010559823;0.018283793;0.040674765;0.029198801;0.03034152;0.028056888;0.030656357;0.027407701;0.03010455;3.30E-05
03/06/2008;0.014695492;0.009386949;0.010463758;0.010572276;0.010415512;0.008829315;0.008819174;-0.005804642;0.018242339;0.047691542;0.029766549;0.031718762;0.031450942;0.03162242;0.028397452;0.028748667;1.26E-05
04/06/2008;0.020946886;0.009212621;0.010288512;0.011508023;0.010435601;0.008879851;0.008948267;-0.00032675;0.018197199;0.06807157;0.029466291;0.031337732;0.03277089;0.031585103;0.028415084;0.02890524;7.56E-06
05/06/2008;0.017333608;0.008574846;0.009668141;0.010644351;0.009574437;0.008163154;0.00879375;0.019308535;0.01913789;0.056298765;0.028505457;0.030449171;0.031646603;0.030336022;0.027301146;0.028730518;3.26E-06
06/06/2008;0.009531304;0.010594737;0.009132948;0.009424183;0.01172329;0.009933036;0.008380103;-0.031376338;0.014613953;0.030887427;0.03167345;0.029555745;0.029678689;0.03363557;0.030180418;0.02792177;2.58E-05
09/06/2008;0.010043296;0.016602294;0.022285321;0.019688128;0.016531761;0.013574853;0.009946555;0.000793374;0.011517491;0.032518725;0.039853641;0.046873761;0.043292379;0.040315604;0.035554951;0.030557264;2.17E-06
10/06/2008;0.015795447;0.015670944;0.020699518;0.017273568;0.015003088;0.012355735;0.016259231;-0.002441049;0.011508147;0.051318243;0.038825001;0.045333204;0.040641186;0.038375512;0.03393848;0.0394006;1.84E-05
11/06/2008;0.017345769;0.014842222;0.019244271;0.016332392;0.014144394;0.011626546;0.018195289;-0.017038681;0.011875304;0.056363881;0.037815341;0.043715666;0.039546424;0.037277643;0.032937009;0.041765299;2.99E-05
12/06/2008;0.016834974;0.015900946;0.022267014;0.021561837;0.015754908;0.013040329;0.018177354;0.003274332;0.009676807;0.054730042;0.039087356;0.047051679;0.045498211;0.039339608;0.034899996;0.041666871;5.12E-05
