Date_Forecast;Forecast_T_ANN_ARCH;Forecast_GARCH;Forecast_GJR_GARCH;Forecast_TARCH;Forecast_EGARCH;Forecast_AVGARCH;Forecast_FIGARCH;ReturnForecast;TrueSD;VaR_T_ANN_ARCH;VaR_GARCH;VaR_GJR_GARCH;VaR_TARCH;VaR_EGARCH;VaR_AVGARCH;VaR_FIGARCH;
01/04/2008;0.01493752;0.027575137;0.022015308;0.026050487;0.033222051;0.023718725;0.030504261;0.035267092;0.015641716;0.04855069;0.051136264;0.045974203;0.04955193;0.057120018;0.046993944;0.053846937;4.95893E-07
02/04/2008;0.014673028;0.034202695;0.021088304;0.022615949;0.041330885;0.030212089;0.027731015;-0.001935943;0.002843856;0.047694563;0.056995883;0.045156326;0.046092345;0.063965405;0.0532074;0.051216802;0.000139929
03/04/2008;0.004634742;0.031848222;0.019277346;0.020663896;0.037205594;0.026385459;0.032320224;0.001300792;0.004431678;0.014916701;0.055009853;0.043121163;0.044072326;0.060611283;0.049632581;0.055427349;4.12348E-08
04/04/2008;0.005696514;0.029602382;0.017747541;0.017949937;0.033369466;0.02269975;0.031808348;0.00079568;0.005170033;0.018383522;0.053187413;0.041476015;0.041201654;0.057578044;0.046189102;0.05513423;2.77182E-07
07/04/2008;0.004945493;0.027520569;0.015941719;0.01533248;0.028726053;0.01927887;0.029481545;0.00156038;0.009794122;0.015920035;0.051305762;0.03924054;0.038051898;0.053314494;0.042454718;0.053125947;2.35092E-05
08/04/2008;0.010117442;0.025508046;0.014238557;0.01297496;0.024710216;0.016481702;0.026441003;-0.005113083;0.009121591;0.032759303;0.049463133;0.037073483;0.035045803;0.049392484;0.039221483;0.050377634;9.9172E-07
09/04/2008;0.010608363;0.024003676;0.013843139;0.013592794;0.023791056;0.015608365;0.023323399;-0.008124991;0.010440294;0.03436314;0.048080555;0.036605879;0.035935205;0.048625855;0.038288767;0.047373811;2.82472E-08
10/04/2008;0.010170886;0.022874708;0.013890728;0.015241117;0.022963895;0.015327124;0.020741928;0.004464073;0.015559174;0.032950966;0.046933951;0.036639056;0.038065795;0.04773736;0.037921098;0.044634057;2.90336E-05
11/04/2008;0.01160547;0.021536298;0.013039799;0.013260404;0.021833643;0.013971966;0.01880426;-0.020584597;0.015471024;0.037614978;0.045599985;0.035491816;0.035519071;0.046672101;0.036287263;0.0425572;1.49425E-05
14/04/2008;0.011921733;0.023401993;0.019184616;0.020732139;0.025786177;0.01702833;0.01739617;-0.003389523;0.011211077;0.038604607;0.047446661;0.04315591;0.04445877;0.050796128;0.040074439;0.040786316;5.05032E-07
15/04/2008;0.011552081;0.021803691;0.017792253;0.019726706;0.02296728;0.015503117;0.018586939;0.004589329;0.010747208;0.037436971;0.045827038;0.041501169;0.043296583;0.04784132;0.038164782;0.042264312;6.47822E-07
16/04/2008;0.011720395;0.020122915;0.016199426;0.016992398;0.020016852;0.013886132;0.017806438;0.022437649;0.013416796;0.037989508;0.044050788;0.039542128;0.040097329;0.044549149;0.036028325;0.041402625;2.87778E-06
17/04/2008;0.008334371;0.022675392;0.015336916;0.014799447;0.025749558;0.016943304;0.016891748;0.000622721;0.009849507;0.026959916;0.046264082;0.038403669;0.037208396;0.050305296;0.039575687;0.039933761;2.29564E-06
18/04/2008;0.008092911;0.021398134;0.014236111;0.01301744;0.023796781;0.015082039;0.01823093;0.017976454;0.009955515;0.026164568;0.045064961;0.037033447;0.03492921;0.048516675;0.037428368;0.041641793;3.46929E-06
21/04/2008;0.012881531;0.021983321;0.013721166;0.011996542;0.026521536;0.016740316;0.017879032;-0.001554733;0.006450859;0.041733478;0.045626449;0.036272992;0.033414642;0.051343665;0.039432539;0.041155888;4.13535E-05
22/04/2008;0.007474165;0.021335977;0.012473703;0.011091297;0.027641266;0.015425745;0.01838317;-0.008849273;0.006403333;0.024072072;0.044567256;0.034528479;0.032087703;0.051923424;0.03763593;0.041582895;1.14668E-06
23/04/2008;0.007354448;0.020807106;0.012916897;0.012879522;0.02760915;0.015456173;0.01780724;0.002895721;0.004590942;0.023723517;0.044088716;0.035240432;0.034711424;0.052002281;0.037761874;0.04094418;7.63697E-06
24/04/2008;0.005297131;0.01960887;0.011823043;0.011258811;0.0238503;0.013942774;0.017009185;0.006421615;0.005266276;0.017060333;0.042864751;0.033669584;0.032412678;0.048256458;0.035828403;0.040077204;9.52044E-10
25/04/2008;0.005931853;0.018586056;0.010956724;0.00998451;0.022122926;0.013318936;0.015756176;0.006473737;0.008928463;0.019119251;0.041848298;0.032409484;0.03052096;0.046558181;0.035073082;0.038614567;8.97967E-06
28/04/2008;0.008056091;0.017892064;0.010003566;0.008756658;0.022289264;0.012644925;0.014602018;-0.001052155;0.008722388;0.026010851;0.041039418;0.030988169;0.028555539;0.04644708;0.034089796;0.037089584;4.43952E-07
29/04/2008;0.00973993;0.016494776;0.009138605;0.008064203;0.018227678;0.011342914;0.013387853;-0.003896273;0.009183914;0.03150553;0.039503808;0.029608542;0.027409499;0.042012368;0.03229086;0.035566907;3.09153E-07
30/04/2008;0.009925175;0.015234191;0.008655483;0.008300052;0.016371156;0.010665062;0.012128615;-0.003853718;0.008905307;0.032107638;0.038111518;0.028850144;0.027856886;0.03991031;0.03136538;0.033890603;1.04013E-06
01/05/2008;0.007832817;0.014054161;0.008245274;0.0085621;0.014816572;0.010004729;0.011088572;0.016995468;0.013296038;0.02529439;0.036731777;0.028246823;0.028431916;0.038047123;0.030471559;0.032447521;2.98468E-05
02/05/2008;0.006179338;0.015583949;0.008131375;0.007737792;0.01744218;0.011731203;0.010489797;0.003230375;0.010282937;0.019931773;0.038450776;0.027935423;0.026868564;0.041187043;0.032888702;0.031366761;1.68395E-05
05/05/2008;0.007355178;0.014259053;0.007375114;0.006753446;0.015203895;0.01063313;0.011072901;-0.004543892;0.010062104;0.023726127;0.036820173;0.026557;0.025055132;0.038425698;0.031274844;0.032324831;7.32744E-06
06/05/2008;0.009287965;0.013277577;0.007215483;0.00734848;0.014204082;0.010212876;0.010897254;0.007622806;0.01193523;0.030009482;0.035577751;0.02625958;0.02615907;0.03717012;0.030661882;0.032099142;7.00802E-06
07/05/2008;0.009248912;0.012538227;0.006787724;0.006563398;0.013715688;0.010085674;0.010387393;-0.018279853;0.011069159;0.029886303;0.034593569;0.025415522;0.024654313;0.036545084;0.030460249;0.031327391;3.3133E-06
08/05/2008;0.009527506;0.014903096;0.011876894;0.011657892;0.017081921;0.01230738;0.010135874;0.003662835;0.006496545;0.030768195;0.037647149;0.033906273;0.033077944;0.040924874;0.033728918;0.030815731;9.18673E-06
09/05/2008;0.005264439;0.013839495;0.011077955;0.010280419;0.01550644;0.011387506;0.011771749;-0.006748166;0.007504689;0.016921194;0.036371935;0.032809914;0.031113151;0.039042949;0.032516793;0.033384217;5.01872E-06
12/05/2008;0.0090341;0.013315363;0.011123497;0.011518605;0.01531699;0.011416634;0.011977401;0.010960492;0.005239174;0.029195833;0.035713389;0.032901455;0.033062909;0.038880752;0.032628385;0.033696383;1.44015E-05
13/05/2008;0.005304156;0.013125555;0.010331508;0.01010324;0.015231108;0.011581268;0.011761182;-0.000384745;0.00436711;0.017058965;0.035337175;0.031545664;0.030733939;0.038623005;0.032706268;0.03331162;8.78056E-07
14/05/2008;0.012167781;0.012222824;0.009579945;0.009264305;0.013728562;0.010570553;0.011687639;0.003997583;0.007162117;0.039381713;0.034092717;0.030370262;0.029416648;0.036438436;0.031136825;0.033179044;2.50567E-05
15/05/2008;0.0106523;0.011217812;0.008967191;0.008225574;0.01250446;0.009808049;0.011001857;0.010528841;0.010356746;0.034479871;0.032814836;0.029527721;0.027826089;0.034880484;0.030113427;0.032257041;8.73519E-08
16/05/2008;0.012064357;0.011249392;0.008382986;0.007332607;0.012826143;0.010141735;0.010215029;0.001249617;0.008244606;0.039085246;0.032746703;0.02840257;0.026121818;0.035217303;0.030520091;0.030980796;1.45905E-05
19/05/2008;0.0072827;0.010297632;0.007768317;0.006471418;0.011337074;0.009026578;0.009870783;0.000897643;0.008428589;0.023497719;0.031393457;0.027398363;0.024597252;0.033137183;0.028835152;0.030541404;1.31306E-06
20/05/2008;0.007644644;0.00933955;0.007181054;0.00568372;0.00988821;0.007899332;0.009133745;-0.009316857;0.010081216;0.024672785;0.029921772;0.026350448;0.02306375;0.03096145;0.026960032;0.029426084;5.93688E-06
21/05/2008;0.007825797;0.009639236;0.00821991;0.007709076;0.010670557;0.008575744;0.008448148;-0.016183787;0.010677205;0.025262782;0.03041405;0.028273185;0.027007961;0.032238651;0.02814878;0.02820841;8.13052E-06
22/05/2008;0.009522499;0.011514028;0.011598673;0.011885255;0.012803994;0.010271418;0.00865474;0.002613959;0.008190286;0.030797565;0.033154768;0.033635417;0.033590426;0.035287792;0.030795519;0.028421928;1.77479E-06
23/05/2008;0.006369401;0.010696159;0.010770029;0.010461483;0.011590889;0.009364624;0.010022179;-0.013298434;0.00815359;0.020574844;0.031946194;0.032354843;0.031449846;0.033528696;0.029365738;0.03071207;3.18333E-06
27/05/2008;0.008174724;0.011580138;0.012706705;0.013848677;0.012979689;0.01050424;0.010233339;0.006822893;0.006970625;0.026444534;0.033230049;0.035235445;0.036310179;0.035539298;0.031200266;0.030977941;1.44985E-06
28/05/2008;0.005448835;0.011050448;0.011758908;0.012119328;0.012447894;0.01019487;0.010984294;0.003955059;0.006805125;0.017612389;0.032396725;0.03377908;0.033847491;0.03471282;0.030657904;0.032114177;1.83952E-06
29/05/2008;0.007438629;0.010311907;0.010899502;0.010639607;0.011444156;0.009459732;0.010955434;0.005320757;0.006254804;0.024079112;0.031253984;0.032429087;0.031603914;0.033219223;0.029454262;0.032100232;1.40144E-06
30/05/2008;0.00686768;0.009692144;0.010148059;0.009414947;0.010786567;0.009007349;0.010345095;0.001515018;0.011368928;0.022213198;0.030266205;0.031224801;0.02964959;0.032203771;0.028688955;0.031191795;2.02612E-05
02/06/2008;0.012473449;0.008970645;0.009513768;0.008374097;0.009728728;0.008165378;0.009589037;-0.010559823;0.018283793;0.040448372;0.029198801;0.03034152;0.028056888;0.030656357;0.027407701;0.03010455;3.37601E-05
03/06/2008;0.018212145;0.00938695;0.010463767;0.010572275;0.010415508;0.008829315;0.008819174;-0.005804642;0.018242339;0.059140312;0.029766553;0.03171879;0.031450942;0.031622408;0.028397452;0.028748667;9.11645E-10
04/06/2008;0.017324748;0.009212621;0.0102885;0.01150802;0.010435591;0.008879846;0.008948877;-0.00032675;0.018197199;0.056279383;0.029466291;0.031337697;0.032770876;0.031585075;0.028414977;0.028906775;7.61172E-07
05/06/2008;0.018185096;0.008574846;0.009668141;0.010644351;0.009574437;0.008163154;0.008794155;0.019308535;0.01913789;0.059070857;0.028505457;0.030449171;0.031646603;0.030336022;0.027301146;0.028731226;9.07816E-07
06/06/2008;0.014911679;0.010594737;0.009132931;0.009424179;0.01172329;0.009933036;0.00838005;-0.031376338;0.014613953;0.048403703;0.03167345;0.029555691;0.02967867;0.03363557;0.030180418;0.027921474;8.86405E-08
09/06/2008;0.012599475;0.016602299;0.022285282;0.019688135;0.016531776;0.013574862;0.009946556;0.000793374;0.011517491;0.040840587;0.039853661;0.046873672;0.043292391;0.040315638;0.035554979;0.030557267;1.17069E-06
10/06/2008;0.014409757;0.015670945;0.020699526;0.017273581;0.015003025;0.01235574;0.016259239;-0.002441049;0.011508147;0.04680701;0.038825004;0.045333221;0.040641226;0.038375456;0.033938497;0.039400624;8.41934E-06
11/06/2008;0.01539742;0.014842216;0.019244269;0.0163324;0.014144393;0.011626542;0.018195298;-0.017038681;0.011875304;0.050020861;0.037815316;0.043715662;0.039546448;0.037277644;0.032936995;0.041765311;1.24053E-05
